scan_idx,phant_id,breast_radius_mm,localization_error_mm,iou,dice,scr_db,smr_db,cnr,peak_intensity,tvsvd_rank_removed,blob_threshold_used,runtime_sec
133,A2F1,48.5,53.50197082127407,0.0,0.0,5.057800030785949,4.747350491628026,2.266844101593114,160.49323008255664,6,0.33069063798106846,0.08970890000000509
134,A2F1,48.5,9.784213445617363,0.07975460122699386,0.14772727272727273,6.138043892291025,5.622222584171281,3.5592325308552377,180.23870464674485,5,0.3159307102473134,0.08995370000047842
135,A2F1,48.5,42.8039764549436,0.0,0.0,6.426628836749568,5.9706169600477725,2.2012577242105795,579.7895334728556,6,0.2265030432781985,0.09649640000043291
136,A12F1,39.0,49.21004399290739,0.0,0.0,5.672062197957107,5.2389996641773795,2.66489484194306,165.23985643237998,6,0.47102075598922444,0.10903220000000147
137,A12F1,39.0,55.85355681615988,0.0,0.0,4.857779264633587,4.534554049053392,2.3683158275388982,237.3923221359732,6,0.3374632907397118,0.10878540000067005
138,A12F1,39.0,60.96235454350245,0.0,0.0,5.4900896042345035,5.026940407039798,3.0672588562258123,164.0167068189476,6,0.385755518660348,0.1186187000002974
139,A12F1,39.0,11.472100397589873,0.0,0.0,5.738306054756151,5.480854987925347,3.2376860486566383,169.87949886230837,6,0.4025210710846843,0.10251859999971202
140,A12F1,39.0,51.62346643672069,0.0,0.0,8.418742993852009,7.830733072201905,6.141204496860082,489.0298498541131,7,0.2111196376113756,0.09169149999979709
141,A12F1,39.0,64.23819047521526,0.0,0.0,5.526550861537261,5.2278151140460185,2.3452462641412968,459.0435645405119,6,0.418207690489206,0.09045450000030542
142,A12F1,39.0,25.982425548726344,0.0,0.0,6.487791573614519,6.072796640664131,4.022754045893545,146.7312270034695,7,0.3708907022992167,0.09535309999955643
143,A12F1,39.0,39.800212751705686,0.0,0.0,6.0616368426116125,5.403177511359592,3.3201756829401456,276.4198859625303,5,0.5050047058609255,0.09222539999973378
144,A12F1,39.0,40.174591460028424,0.0,0.0,7.06019108965295,6.6303836500381275,3.734450642772007,172.76343377495513,6,0.3054416018744268,0.08914070000082575
145,A12F1,39.0,40.4448056880576,0.0,0.0,9.124595459904517,7.143681445089766,7.428499545461976,495.82933937954283,5,0.16717625119673304,0.09986099999969156
146,A12F1,39.0,47.02442288461251,0.0,0.0,5.109904858783956,4.835924587647514,2.6225712163505244,200.7088141060155,6,0.4967019478007648,0.08949129999928118
147,A12F1,39.0,54.57084637909995,0.0,0.0,6.2191349830842295,5.4948428273107055,3.570272848363618,509.64487632582143,5,0.43437077418519354,0.09781400000065332
148,A12F1,39.0,56.8169120603112,0.0,0.0,6.527839971052032,6.032217046134814,3.5985548808727694,279.14558011174466,5,0.2643306343507048,0.08773269999983313
149,A12F1,39.0,71.2662352495203,0.0,0.0,6.759000372673358,6.069734702897804,3.692483836003601,125.38839944968878,5,0.4145073878443025,0.09174369999982446
150,A12F1,39.0,11.580033435992883,0.13193116634799235,0.23310810810810811,6.31274539198537,5.8900616132174966,3.585434824498491,272.38842936645517,5,0.39722770620108033,0.09777680000024702
151,A12F1,39.0,34.200585289473096,0.0,0.0,5.097013943395759,4.661501649847099,2.6271381450737583,198.81147348292203,6,0.5411161488731803,0.09229419999974198
152,A12F1,39.0,47.531022565314125,0.0,0.0,7.675241590216154,6.9204451139160685,4.901109930842635,425.85010754437576,6,0.1647382442324571,0.0936584999999468
153,A12F1,39.0,41.251451813243996,0.0,0.0,5.064372029926691,4.698403877528234,2.3022313529944656,236.03949221262542,5,0.5079376092791225,0.10039740000047459
154,A12F1,39.0,54.380180411932805,0.0,0.0,5.789483485708047,5.367623877408696,3.352016906711208,292.9067530468135,5,0.4984579406175427,0.09583259999999427
